pl_name,pl_bmassj,pl_orbper,discoverymethod
"K2-195 c",0.02250000,28.48278600000,"Transit"
"Proxima Cen d",0.00081805,5.12338000000,"Radial Velocity"
"HD 15906 b",0.01780000,10.92470900000,"Transit"
"HD 196050 b",4.70000000,1392.00000000000,"Radial Velocity"
"K2-201 c",0.03400000,22.77987800000,"Transit"
"TOI-1279 b",0.03335133,9.61419000000,"Transit"
"K2-326 b",0.01830000,1.25600000000,"Transit"
"Kepler-606 b",0.03450000,24.31575992000,"Transit"
"Kepler-1575 b",0.00714000,2.55314213000,"Transit"
"Kepler-729 b",0.03940000,3.16635371400,"Transit"
"Kepler-1995 b",0.05330000,73.75788750000,"Transit"
"Kepler-1434 b",0.00444000,8.05333618000,"Transit"
"Kepler-82 c",0.04373407,51.54000000000,"Transit"
"Kepler-1538 b",0.02630000,175.13881900000,"Transit"
"K2-187 b",0.00588000,0.77401000000,"Transit"
"Kepler-464 b",0.03430000,7.25696522400,"Transit"
"61 Vir b",0.01600000,4.21500000000,"Radial Velocity"
"Kepler-1782 b",0.01760000,5.75622987700,"Transit"
"Kepler-1580 b",0.01600000,56.64492790000,"Transit"
"Kepler-198 d",0.00930000,1.31184443000,"Transit"
"Kepler-1737 b",0.07900000,64.61750031000,"Transit"
"Kepler-134 c",0.00669000,10.10578500000,"Transit"
"TOI-1860 b",0.00714000,1.06621070000,"Transit"
"Kepler-132 c",0.00687000,6.41491400000,"Transit"
"GJ 3942 b",0.02246484,6.90500000000,"Radial Velocity"
"Kepler-26 b",0.01610924,12.28000000000,"Transit"
"Kepler-1589 b",0.00416000,0.99166527400,"Transit"
"K2-343 c",0.01490000,7.67697200000,"Transit"
"GJ 581 c",0.02142666,12.92110000000,"Radial Velocity"
"HD 196885 A b",2.58000000,1333.00000000000,"Radial Velocity"
"TOI-5592 b",0.89900000,2.60858460000,"Transit"
"Kepler-188 c",0.03240000,5.99655300000,"Transit"
"HIP 65407 c",0.78400000,67.30000000000,"Radial Velocity"
"KOI-1831 d",0.00701636,34.16900000000,"Transit"
"Kepler-279 c",0.15500000,35.73600000000,"Transit"
"TOI-1444 b",0.01126394,0.47027430000,"Transit"
"Kepler-329 c",0.01380000,18.68473700000,"Transit"
"Kepler-487 d",0.02560000,2.41839003600,"Transit"
"HD 43691 b",2.55000000,36.99870000000,"Radial Velocity"
"Kepler-797 b",0.01680000,27.07237711000,"Transit"
"K2-401 b",0.01810000,6.29309900000,"Transit"
"Kepler-199 c",0.03340000,67.09340800000,"Transit"
"HATS-8 b",0.13800000,3.58389300000,"Transit"
"KMT-2019-BLG-1367L b",0.01283712,,"Microlensing"
"KOI-1783.01",0.22338986,134.46280000000,"Transit"
"KELT-16 b",2.75000000,0.96899510000,"Transit"
"Kepler-1681 b",0.02220000,69.89560000000,"Transit"
"Kepler-780 b",0.00201000,0.67737516400,"Transit"
"Kepler-1572 b",0.00245000,5.49548621000,"Transit"
"Kepler-1389 b",0.01190000,99.25309510000,"Transit"
"TOI-544 c",0.06764657,50.08900000000,"Radial Velocity"
"Kepler-251 d",0.02550000,30.13300100000,"Transit"
"Kepler-127 d",0.02350000,48.63040800000,"Transit"
"CoRoT-12 b",0.91700000,2.82804200000,"Transit"
"SWEEPS-4 b",3.80000000,4.20000000000,"Transit"
