pl_name,pl_bmassj,pl_bmasse,pl_orbper,discoverymethod
"HD 233604 b",6.57500000,2089.64400000,192.00000000000,"Radial Velocity"
"WD 0806-661 b",8.00000000,2542.62725600,,"Imaging"
"Kepler-63 b",0.37800000,120.00000000,9.43415050000,"Transit"
"Kepler-77 b",0.43000000,136.66100000,3.57878087000,"Transit"
"HAT-P-44 c",4.00000000,1271.30000000,872.20000000000,"Radial Velocity"
"HATS-5 b",0.23700000,75.32300000,4.76338700000,"Transit"
"HD 10180 d",10.37000000,3295.88058059,16.35700000000,"Radial Velocity"
"WTS-1 b",4.01000000,1274.44000000,3.35205700000,"Transit"
"Kepler-297 c",0.13200000,42.10000000,74.92013700000,"Transit"
"Kepler-347 b",0.01430000,4.54000000,12.79836000000,"Transit"
"CoRoT-26 b",0.52000000,165.26000000,4.20474000000,"Transit"
"CoRoT-25 b",0.27000000,85.81000000,4.86069000000,"Transit"
"Kepler-186 b",0.00390000,1.24000000,3.88679070000,"Transit"
"91 Aqr b",3.20000000,1017.00000000,181.40000000000,"Radial Velocity"
"GJ 163 b",0.03335116,10.60000000,8.63182000000,"Radial Velocity"
"Kepler-27 c",13.80000000,4385.87000000,31.33090000000,"Transit"
"Kepler-27 b",9.11000000,2895.31000000,15.33480000000,"Transit"
"Kepler-139 c",0.04090257,13.00000000,157.07287800000,"Transit"
"Kepler-311 c",0.00829000,2.63000000,19.73828600000,"Transit"
"BD-06 1339 b",4.79200000,1523.03372634,3.87280000000,"Radial Velocity"
"Kepler-186 d",0.00800000,2.54000000,13.34299600000,"Transit"
"Kepler-11 d",0.02300000,7.30000000,22.68450000000,"Transit"
"Kepler-11 b",0.00600000,1.90000000,10.30390000000,"Transit"
"Kepler-31 c",4.70000000,1493.70000000,42.63180000000,"Transit"
"Kepler-32 c",0.50000000,158.90000000,8.75220000000,"Transit"
"Kepler-1735 b",0.00578000,1.84000000,7.71792984000,"Transit"
"HD 66141 b",6.00000000,1906.90000000,480.50000000000,"Radial Velocity"
"HD 208527 b",9.90000000,3146.40000000,875.50000000000,"Radial Velocity"
"MOA-bin-1L b",3.70000000,1200.00000000,,"Microlensing"
"GU Psc b",11.30000000,3591.30000000,,"Imaging"
"GJ 163 c",0.02139509,6.80000000,25.63058000000,"Radial Velocity"
"GJ 163 d",0.09250228,29.40000000,603.95116000000,"Radial Velocity"
"Kepler-32 d",0.12556744,39.90890000,22.78020000000,"Transit"
"Kepler-31 d",6.80000000,2161.24400000,87.64510000000,"Transit"
"HAT-P-45 b",0.89200000,283.49200000,3.12899200000,"Transit"
"HAT-P-44 b",0.35200000,111.87100000,4.30121900000,"Transit"
"MOA-2010-BLG-073L b",11.00000000,3500.00000000,,"Microlensing"
"HAT-P-27 b",0.62000000,197.05000000,3.03957700000,"Transit"
"DENIS-P J082303.1-491201 b",28.50000000,9057.77000000,246.36000000000,"Astrometry"
"HIP 63242 b",9.18000000,2917.56000000,124.60000000000,"Radial Velocity"
"Kepler-31 b",0.11560263,36.74180000,20.86130000000,"Transit"
"Kepler-32 f",3.04953232,969.22800000,0.74296000000,"Transit"
"Kepler-58 d",0.77193540,245.34300000,40.10137100000,"Transit"
"Kepler-158 b",0.01620000,5.14000000,16.70918400000,"Transit"
"Kepler-424 c",6.97000000,2215.18000000,223.30000000000,"Radial Velocity"
"KMT-2023-BLG-1896L b",0.05144285,16.35000000,,"Microlensing"
